Quark;1 Pfd.;250;g;Milch
Radieschen;Bund;1;;Gemüse
Rapsöl;1 l;1000;ml;Grund.
Reis;1 Pfd.;500;g;Getr.
Risottoreis;1 Pfd.;500;g;Getr.
Rosenkohl;1 kg;1000;g;Gemüse
Rosinen;1 Pfd.;500;g;Sonst.
Rosmarin;;0;;Gewürz
rote Beete;500g;500;g;Gemüse
rote Linsen;1 Pfd.;500;g;Getr.
Rucola, Bund;1 Stck.;1;St.;Gemüse
Safran;Päckchen;1;Pckg.;Gewürz
Sahne;200 ml;200;ml;Milch
Salat;;1;St.;Gemüse
Salatöl;;0;;Sonst.
Salz;1 Pfd.;500;g;Gewürz
Sauerkirschen im Glas;1 Stck.;1;St.;Obst
saure Sahne;200 g;200;g;Milch
Schafskäse (Feta);1 Packung;200;g;Milch
Schalotten;1 kg;1000;g;Gemüse
Schnittlauch;1 Bund;1;St.;Gewürz
Schokoladenpuddingpulver;Packung;1;Pckg.;Sonst.
Schokostreusel;1 Stck.;1;Pckg.;Sonst.
Sellerie, Knolle;1 Stck.;1;;Gemüse
Semmelbrösel;Packung;200;g;Sonst.
Senf;Glas;160;ml;Gewürz
Sesam;Packung;250;g;Sonst.
Sojasauce;;0;;Gewürz
Sojaschnetzel;Packung;200;g;Sonst.
Sonnenblumenkerne;1 Pfd.;500;g;Sonst.
Sonnenblumenöl;Flasche;700;ml;Sonst.
Spaghetti;1 Pfd.;500;g;Grund.
Speisestärke;1 Stck.;250;g;Sonst.
Sprossen;Packung;1;Pckg.;Gemüse
Spätzle;1 Pfd.;500;g;Grund.
Steckrüben;1 kg;1000;g;Gemüse
süßer Senf;1 Stck.;1;St.;Gewürz
TK Erbsen;Packung;450;g;Gemüse
TK Kräuter;1 Packung;1;Pckg.;Gewürz
TK Spinat (Blatt);1 Packung;450;g;Gemüse
TK Spinat, gehackt;1 Packung;450;g;Gemüse
Tofu;1 Packung;0;;Sonst.
Tomaten;1 kg;1000;g;Gemüse
Tomatenmark;Dose;125;g;Sonst.
Trauben;1 Pfd.;500;g;Obst
Trockenhefe;1 Beutel;1;Pckg.;Sonst.
Vanilleeis;;1000;ml;Milch
Vanillepuddingpulver;1 Pckg.;1;Pckg.;Sonst.
Vanillepulver;Päckchen;1;St.;Gewürz
Vanillesaucenpulver;1 Packung;3;Pckg.;Sonst.
Vanillestange;1 Stck.;1;St.;Gewürz
Vanillezucker;Päckchen;4;St.;Gewürz
Vollkorntoast;500 g Packung;500;g;Grund.
Wasser;1 l;1000;ml;Sonst.
Wassermelone;1 kg;1000;g;Obst
Weichweizengrieß;1 Pfd.;500;g;Getr.
Weintrauben;1 kg;1000;g;Obst
Weißkohl;1 Stck.;1;;Gemüse
Wirsing;1 kg;1000;g;Gemüse
Ziegenkäse;1 kg;1000;g;Milch
Zimt;;0;;Gewürz
Zimtstange;1 Stck.;1;St.;Gewürz
Zitrone;1 kg;1000;g;Obst
Zitronenmelisse;Bund;1;St.;Gewürz
Zitronensaft;0,2 l Flasche;200;ml;Sonst.
Zucchini;1 kg;1000;g;Gemüse
Zucker;1 kg;1000;g;Grund.
Zwetschgen;1 kg;1000;g;Obst
Zwieback;1 Packung;300;g;Sonst.
Zwiebeln;1 kg;1000;g;Gemüse
Äpfel;1 kg;1000;g;Obst
